category_name,mean,std,count,cv
vzglavniki,255.43563636363635,983.5005652938291,165,385.03
pticje kletke,49.73583333333334,142.414671017471,24,286.34
brezprekinitveno napajanje ups,202.82680851063827,553.0379499247628,47,272.67
moski sportni puloverji in majice,137.93675675675675,366.64263137173396,37,265.8
zascitne ograje ponjave,296.5153439153439,738.7504768904485,189,249.14
gradbeni material,218.5610606060606,543.8316767727509,132,248.82
presite odeje,60.282162162162166,148.70789667695553,37,246.69
sponke zanke in kavlji,27.043,63.198636342228475,30,233.7
otroski bazeni in napihljiv program,59.98722222222222,139.76545484349865,54,232.99
dodatna oprema1,119.46900000000001,266.34543544375623,30,222.94
lezisca za pse,337.28118644067797,744.8499660032152,118,220.84
odeje presite odeje,625.850243902439,1331.8515490218276,164,212.81
jedilnica,127.62104972375691,265.3253992856962,181,207.9
kolesarjenje,170.491875,347.33584102929615,80,203.73
moske sportne majice in topi,159.4190909090909,320.02560786564055,33,200.74
